iter	RMSE
0	14.82270061
1	14.43567843
2	14.05703307
3	13.68490375
4	13.34097607
5	13.0080063
6	12.7042195
7	12.4174782
8	12.12238491
9	11.82910705
10	11.53491228
11	11.28468244
12	11.06298572
13	10.81542021
14	10.58240223
15	10.34831796
16	10.12071922
17	9.922575521
18	9.714887541
19	9.531007982
20	9.361000297
21	9.202216539
22	9.047160803
23	8.884770774
24	8.727471272
25	8.573225116
26	8.433948744
27	8.307112438
28	8.170270494
29	8.042796071
30	7.943209897
31	7.813904914
32	7.701719901
33	7.60494154
34	7.500721182
35	7.414268092
36	7.319704036
37	7.239965361
38	7.155281713
39	7.082413636
40	6.999373481
41	6.933521066
42	6.858046482
43	6.80133114
44	6.736240274
45	6.666180753
46	6.601004899
47	6.540840412
48	6.478388453
49	6.418792453
50	6.367878816
51	6.312590708
52	6.267311327
53	6.220338838
54	6.179736398
55	6.142250604
56	6.105381193
57	6.072372018
58	6.036295186
59	6.00558378
60	5.976318423
61	5.940018969
62	5.908152991
63	5.878461607
64	5.850421214
65	5.822512311
66	5.794376455
67	5.767432297
68	5.746976096
69	5.725975519
70	5.705877463
71	5.680157778
72	5.656288012
73	5.63624904
74	5.613837663
75	5.597762232
76	5.581440118
77	5.567803582
78	5.551690649
79	5.537702427
80	5.519950358
81	5.503045793
82	5.487208484
83	5.473327391
84	5.461288826
85	5.443339485
86	5.430378898
87	5.419122976
88	5.406426177
89	5.392457573
90	5.380127529
91	5.371521709
92	5.360909212
93	5.3479245
94	5.337492761
95	5.328802582
96	5.321313951
97	5.313121429
98	5.302779455
99	5.29270721
100	5.283254879
101	5.274020747
102	5.264106898
103	5.252293245
104	5.244556593
105	5.23160022
106	5.224665908
107	5.218093719
108	5.210938315
109	5.203521315
110	5.196156188
111	5.190177813
112	5.18328618
113	5.174677055
114	5.16751246
115	5.162540331
116	5.158262645
117	5.150589153
118	5.143563249
119	5.139745551
120	5.130540709
121	5.126585507
122	5.121588777
123	5.115992672
124	5.110090277
125	5.104464554
126	5.100941335
127	5.093659822
128	5.088504731
129	5.084588625
130	5.080888586
131	5.075429049
132	5.069201318
133	5.065207196
134	5.058679611
135	5.050200058
136	5.043411225
137	5.039595087
138	5.035862885
139	5.02931309
140	5.024133627
141	5.01803192
142	5.013937266
143	5.005939011
144	5.002657163
145	4.997017341
146	4.993956097
147	4.989658894
148	4.983634704
149	4.977690778
150	4.974442797
151	4.972770599
152	4.969018974
153	4.964626086
154	4.958829971
155	4.953277903
156	4.945765914
157	4.944617742
158	4.938645558
159	4.935246368
160	4.932110362
161	4.929145181
162	4.924252587
163	4.919448617
164	4.917119659
165	4.914383274
166	4.910958537
167	4.908303517
168	4.903063436
169	4.899459234
170	4.895333898
171	4.893103583
172	4.88770787
173	4.883831678
174	4.879355845
175	4.875971437
176	4.869222731
177	4.865777601
178	4.861782729
179	4.860459409
180	4.857294731
181	4.853602315
182	4.850893607
183	4.84478653
184	4.842659523
185	4.840066665
186	4.836528921
187	4.83237524
188	4.829340505
189	4.823612909
190	4.819884979
191	4.817467257
192	4.812254131
193	4.808954145
194	4.806495279
195	4.804314876
196	4.80253577
197	4.800057593
198	4.797610082
199	4.793781068
200	4.788405772
201	4.784601351
202	4.781998562
203	4.779242278
204	4.777383577
205	4.773074967
206	4.769349748
207	4.766092468
208	4.76339861
209	4.760120968
210	4.755373286
211	4.75250954
212	4.747932609
213	4.741419366
214	4.738432069
215	4.734839737
216	4.73259062
217	4.727368585
218	4.724520833
219	4.72217514
220	4.717792597
221	4.714914936
222	4.713205769
223	4.709341045
224	4.706360454
225	4.704945341
226	4.703201268
227	4.695824643
228	4.692011765
229	4.689412212
230	4.683703668
231	4.682428072
232	4.680090466
233	4.677742566
234	4.675432398
235	4.673553404
236	4.672262958
237	4.670539207
238	4.668473664
239	4.666604515
240	4.663974144
241	4.660498551
242	4.656815511
243	4.652352889
244	4.650255626
245	4.647327382
246	4.645341732
247	4.643492963
248	4.641003425
249	4.638703432
250	4.633681416
251	4.63094106
252	4.626905206
253	4.623026793
254	4.620764177
255	4.617769931
256	4.613927363
257	4.612392671
258	4.608623191
259	4.60672808
260	4.603855021
261	4.602008376
262	4.598259768
263	4.59268303
264	4.591018419
265	4.589910756
266	4.583358864
267	4.579909669
268	4.577926941
269	4.574963338
270	4.570381576
271	4.568059414
272	4.562841725
273	4.560049877
274	4.558467428
275	4.551997061
276	4.549335721
277	4.546031534
278	4.543021763
279	4.537631415
280	4.530215623
281	4.527836147
282	4.524523705
283	4.520995111
284	4.515881386
285	4.5135239
286	4.511033579
287	4.505473358
288	4.501444779
289	4.498663119
290	4.493459018
291	4.486993476
292	4.485011083
293	4.482613879
294	4.477585805
295	4.472581436
296	4.470210865
297	4.466988519
298	4.464824621
299	4.462272448
300	4.461785638
301	4.45926026
302	4.455144831
303	4.453132456
304	4.452432495
305	4.449509052
306	4.444864274
307	4.439879844
308	4.43793988
309	4.437278866
310	4.43595507
311	4.42879471
312	4.425019534
313	4.419756589
314	4.41512873
315	4.408721832
316	4.408163792
317	4.406339663
318	4.405727886
319	4.400974506
320	4.399209724
321	4.394658459
322	4.391637608
323	4.39147534
324	4.389536361
325	4.387745075
326	4.387122252
327	4.38239643
328	4.381037739
329	4.379323894
330	4.376559978
331	4.373019067
332	4.371314944
333	4.36417154
334	4.361968229
335	4.357391161
336	4.35529504
337	4.352225696
338	4.350279933
339	4.347889852
340	4.345899606
341	4.339464669
342	4.334988291
343	4.331145049
344	4.327036742
345	4.325406427
346	4.321744823
347	4.320766125
348	4.318120728
349	4.317621871
350	4.31374229
351	4.308949657
352	4.306974499
353	4.30302148
354	4.301701878
355	4.300969348
356	4.298825948
357	4.297325802
358	4.293175144
359	4.291451604
360	4.290097522
361	4.285007154
362	4.282675688
363	4.280126771
364	4.274639743
365	4.270139845
366	4.268549034
367	4.265755752
368	4.261697394
369	4.26033248
370	4.257499947
371	4.251897861
372	4.24971081
373	4.24798603
374	4.244039774
375	4.241116655
376	4.239204337
377	4.238112209
378	4.23690638
379	4.231218444
380	4.231030523
381	4.229252573
382	4.227501737
383	4.224805471
384	4.224261342
385	4.223387693
386	4.220682848
387	4.216977861
388	4.212368811
389	4.208488043
390	4.207966178
391	4.203823409
392	4.200393965
393	4.196835098
394	4.193786022
395	4.189854172
396	4.187215109
397	4.185102577
398	4.181063769
